name,description,price,currency,category,status,images,tags,autoResponse,stock
Curso Piano Profesional Completo,Curso 100% en línea con videos descargables para aprender piano desde cero hasta nivel profesional. +80 lecciones en video HD con acceso de por vida,60000,COP,DIGITAL,AVAILABLE,https://landein-page-pian2.vercel.app/piano-curso.jpg,"curso,piano,musica,online,profesional",¡Excelente elección! El curso de piano incluye +80 lecciones en video HD. Acceso inmediato después del pago con garantía de 7 días.,999
Mega Pack 01: Cursos Diseño Gráfico,Cursos completos de Photoshop Illustrator InDesign y técnicas profesionales de diseño gráfico,20000,COP,DIGITAL,AVAILABLE,https://ejemplo.com/megapack01.jpg,"diseño,grafico,photoshop,illustrator,curso",Este Mega Pack incluye cursos completos de diseño gráfico profesional. Acceso inmediato.,999
Mega Pack 02: Cursos Microsoft Office,Cursos completos de Word Excel PowerPoint y Access desde básico hasta avanzado,20000,COP,DIGITAL,AVAILABLE,https://ejemplo.com/megapack02.jpg,"office,word,excel,powerpoint,curso",Aprende Microsoft Office completo con este Mega Pack. Ideal para oficina y productividad.,999
Mega Pack 03: Cursos Inglés,Cursos de inglés desde básico hasta avanzado incluyendo conversación y negocios,20000,COP,DIGITAL,AVAILABLE,https://ejemplo.com/megapack03.jpg,"ingles,idiomas,conversacion,curso",Domina el inglés con este Mega Pack completo. Desde básico hasta nivel de negocios.,999
Mega Pack 04: Cursos Excel,Excel desde básico hasta avanzado con fórmulas tablas dinámicas y macros,20000,COP,DIGITAL,AVAILABLE,https://ejemplo.com/megapack04.jpg,"excel,office,formulas,macros,curso",Conviértete en experto en Excel con este Mega Pack especializado.,999
Mega Pack 05: Cursos Hacking Ético,Seguridad informática pentesting y auditorías de sistemas,20000,COP,DIGITAL,AVAILABLE,https://ejemplo.com/megapack05.jpg,"hacking,seguridad,pentesting,curso",Aprende seguridad informática y hacking ético profesional.,999
Mega Pack 06: Mega Pack Infografías,Plantillas y técnicas para crear infografías profesionales,20000,COP,DIGITAL,AVAILABLE,https://ejemplo.com/megapack06.jpg,"infografias,diseño,plantillas",Crea infografías impactantes con este pack de plantillas y técnicas.,999
Mega Pack 07: Archivos editables de diseño gráfico,Archivos fuente editables para diseño gráfico profesional,20000,COP,DIGITAL,AVAILABLE,https://ejemplo.com/megapack07.jpg,"diseño,editables,plantillas",Archivos fuente completamente editables para tus proyectos de diseño.,999
Mega Pack 08: Instaladores,Software y herramientas de instalación profesionales,20000,COP,DIGITAL,AVAILABLE,https://ejemplo.com/megapack08.jpg,"software,instaladores,herramientas",Colección de instaladores y software profesional.,999
Mega Pack 09: Curso Memoria Poderosa,Técnicas de memorización y aprendizaje acelerado,20000,COP,DIGITAL,AVAILABLE,https://ejemplo.com/megapack09.jpg,"memoria,aprendizaje,tecnicas,curso",Mejora tu memoria y capacidad de aprendizaje con técnicas probadas.,999
Mega Pack 10: 3700 Libros Digitales,Biblioteca digital con 3700 libros en diversos temas,20000,COP,DIGITAL,AVAILABLE,https://ejemplo.com/megapack10.jpg,"libros,digital,biblioteca",Biblioteca digital completa con 3700 libros en formato digital.,999
Mega Pack 11: Cursos Marketing Digital,SEO SEM Google Ads y estrategias de redes sociales,20000,COP,DIGITAL,AVAILABLE,https://ejemplo.com/megapack11.jpg,"marketing,digital,seo,sem,curso",Domina el marketing digital con este pack completo de cursos.,999
Mega Pack 12: Gastronomía Internacional,Recetas y técnicas culinarias de cocina internacional,20000,COP,DIGITAL,AVAILABLE,https://ejemplo.com/megapack12.jpg,"gastronomia,cocina,recetas",Aprende cocina internacional con recetas y técnicas profesionales.,999
Mega Pack 13: Ingeniería y Arquitectura,Cursos especializados en ingeniería y arquitectura,20000,COP,DIGITAL,AVAILABLE,https://ejemplo.com/megapack13.jpg,"ingenieria,arquitectura,curso",Cursos profesionales de ingeniería y arquitectura.,999
Mega Pack 14: Pack Plantillas 100% Editables,Plantillas completamente personalizables para diversos usos,20000,COP,DIGITAL,AVAILABLE,https://ejemplo.com/megapack14.jpg,"plantillas,editables,diseño",Plantillas 100% editables para todos tus proyectos.,999
Mega Pack 15: FX Presets After Effects y Premiere,Efectos y presets para edición de video profesional,20000,COP,DIGITAL,AVAILABLE,https://ejemplo.com/megapack15.jpg,"video,efectos,premiere,aftereffects",Efectos y presets profesionales para edición de video.,999
Mega Pack 16: Cursos Premium +900 GB,Python JavaScript Java C++ desarrollo web y móvil,20000,COP,DIGITAL,AVAILABLE,https://ejemplo.com/megapack16.jpg,"programacion,python,javascript,curso",Mega colección de cursos de programación con +900 GB de contenido.,999
Mega Pack 17: Apps Android Premium,Desarrollo de aplicaciones Android profesionales,20000,COP,DIGITAL,AVAILABLE,https://ejemplo.com/megapack17.jpg,"android,apps,desarrollo,curso",Aprende a desarrollar aplicaciones Android profesionales.,999
