name,description,price,currency,category,status,images,tags,stock,paymentLinkCustom
"Tablet Acer Iconia M10 Wifi 10.1 Wxga Ips 4gb-64gb Champagne","SKU: LFTAL.001
Marca: Acer
Tamaño de pantalla: 10,1 Pulgadas
Color: Dorado
Resolución de pantalla: 1920 x 1200
Procesador: MediaTek
Memoria RAM: 4 GB
Sistema Operativo: Android
Modelo: Tablet Acer Iconia M10 10.1
Peso: 0,50 Kg
Dimensiones: 247 mm x172 mm x 8.6 mm
Tipo De Pantalla: IPS
Micrófono: Si
Resolución Cámara Trasera: 5mp
Resolución Cámara Frontal: 5MP
Dual SIM: No
Capacidad Bateria: 6000mAh
Tarjeta SIM: N/A
Salida Audifonos: Si
Pixeles por Pulgadas: 224 ppi

La Tablet Acer Iconia M10 es una tablet Android de 10.1 pulgadas, diseñada para ofrecer un equilibrio perfecto entre rendimiento, portabilidad y entretenimiento multimedia. Su pantalla Full HD de 1920 x 1200 píxeles proporciona una experiencia visual nítida y clara, ideal para ver videos, jugar o navegar por internet. Con una pantalla IPS, los colores y ángulos de visión son vibrantes y consistentes, lo que mejora la calidad de visualización desde cualquier ángulo. Equipada con un procesador MediaTek de 4 núcleos y 2 GB de RAM, la Acer Iconia M10 permite realizar tareas cotidianas como navegar por la web, utilizar aplicaciones de productividad y disfrutar de juegos ligeros con fluidez. La capacidad de almacenamiento de 32 GB se puede ampliar mediante una tarjeta microSD, lo que permite guardar una gran cantidad de archivos, fotos y videos. La tablet Acer Iconia M10 también cuenta con altavoces frontales para un sonido claro y envolvente, haciendo de ella una opción ideal para disfrutar de contenido multimedia. Además, con Android 10 como sistema operativo, los usuarios tienen acceso a una amplia gama de aplicaciones a través de Google Play Store.",498900,COP,PHYSICAL,AVAILABLE,"https://thumb.pccomponentes.com/w-530-530/articles/1086/10861246/1354-acer-iconia-tab-m10-wifi-101-4-64gb-dorada.jpg|https://media.flixcar.com/webp/synd-asset/Acer-146939366-acer-iconia-tab-m10-m10-11-wallpaper-11-1-wid-736-hei-556-fmt-jpg-zoom.jpg|https://www.buyitdirect.ie/Images/NT.LFTEE.001_1_Supersize.jpg?width=650&height=650&v=3","Tablet|Tablets",,
"Impresora Hp Laserjet M111W Monocromática","Impresora Hp Laserjet M111W Monocromática. Producto original con garantía. Envío a toda Colombia.",585900,COP,PHYSICAL,AVAILABLE,"https://megacomputer.com.co/wp-content/uploads/2024/02/111W-1.png","impresora|printer|oficina|hp|nuevo|garantia",5,"https://megacomputer.com.co/producto/impresora-hp-laserjet-m111w-monocromatica/"
"Impresora Epson Ecotank L1250 Imprime (Copia y Scanea Desde La App) Usb y Wifi","Impresora Epson Ecotank L1250 Imprime (Copia y Scanea Desde La App) Usb y Wifi. Producto original con garantía. Envío a toda Colombia.",719900,COP,PHYSICAL,AVAILABLE,"https://megacomputer.com.co/wp-content/uploads/2025/06/1-2025-06-11T095950.195.webp","impresora|printer|oficina|epson|nuevo|garantia",5,"https://megacomputer.com.co/producto/impresora-epson-ecotank-l1250-imprime-copia-y-scanea-desde-la-app-usb/"
"Impresora Canon Multifuncional  G3170 Tinta Continua Wifi","Impresora Canon Multifuncional  G3170 Tinta Continua Wifi. Producto original con garantía. Envío a toda Colombia.",789900,COP,PHYSICAL,AVAILABLE,"https://megacomputer.com.co/wp-content/uploads/2024/03/1-15.png","impresora|printer|oficina|canon|nuevo|garantia",5,"https://megacomputer.com.co/producto/impresora-canon-multifuncional-g3170-tinta-continua-wifi/"
"Impresora Epson Multifuncional Wifi Ecotank L3251","Impresora Epson Multifuncional Wifi Ecotank L3251. Producto original con garantía. Envío a toda Colombia.",990000,COP,PHYSICAL,AVAILABLE,"https://megacomputer.com.co/wp-content/uploads/2024/03/L3251-1.webp","impresora|printer|oficina|epson|nuevo|garantia",5,"https://megacomputer.com.co/producto/impresora-epson-multifuncional-wifi-ecotank-l3251/"
"Impresora Hp Smart Tank 530 Multifuncional Wi-Fi Adf","Impresora Hp Smart Tank 530 Multifuncional Wi-Fi Adf. Producto original con garantía. Envío a toda Colombia.",1059900,COP,PHYSICAL,AVAILABLE,"https://megacomputer.com.co/wp-content/uploads/2023/11/IMPRESORA-HP-SMART-TANK-530.jpg","impresora|printer|oficina|hp|nuevo|garantia",5,"https://megacomputer.com.co/producto/impresora-hp-smart-tank-530-multifuncional-wi-fi-adf/"
"Portatil Asus Vivobook Go 15 E1504fa-Nj1961 Amd Ryzen 3 7320u Ram 8gb Ddr5 512 Ssd Pantalla 15.6 Fhd","Portatil Asus Vivobook Go 15 E1504fa-Nj1961 Amd Ryzen 3 7320u Ram 8gb Ddr5 512 Ssd Pantalla 15.6 Fhd. Producto original con garantía. Envío a toda Colombia.",1329900,COP,PHYSICAL,AVAILABLE,"https://megacomputer.com.co/wp-content/uploads/2025/07/1-2025-07-31T165914.749.webp","laptop|portatil|computador|asus|nuevo|garantia",5,"https://megacomputer.com.co/producto/portatil-asus-vivobook-go-15-e1504fa-nj1961-amd-ryzen-3-7320u-ram-8gb-ddr5-512-ssd-pantalla-15-6-fhd/"
"Impresora Multifuncional Epson L5590 Wifi Ecotank","Impresora Multifuncional Epson L5590 Wifi Ecotank. Producto original con garantía. Envío a toda Colombia.",1329900,COP,PHYSICAL,AVAILABLE,"https://megacomputer.com.co/wp-content/uploads/2023/03/IMPRESORA-Ecotank-L5590-1.jpg.webp","impresora|printer|oficina|epson|nuevo|garantia",5,"https://megacomputer.com.co/producto/impresora-multifuncional-epson-l5590-wifi-ecotank/"
"Portatil Asus Vivobook 15 X1502za-Ej2443 Intel core I5-12500h Ram 8gb Ddr4 512gb Ssd Pantalla 15.6","Portatil Asus Vivobook 15 X1502za-Ej2443 Intel core I5-12500h Ram 8gb Ddr4 512gb Ssd Pantalla 15.6. Producto original con garantía. Envío a toda Colombia.",1749900,COP,PHYSICAL,AVAILABLE,"https://megacomputer.com.co/wp-content/uploads/2025/04/1-2025-04-15T112035.293.webp","laptop|portatil|computador|asus|nuevo|garantia",5,"https://megacomputer.com.co/producto/portatil-asus-vivobook-15-x1502za-ej2443-intel-core-i5-12500h-ram-8gb-ddr4-512gb-ssd-pantalla-15-6/"
"Portátil Asus Vivobook Go 15 E1504FA-NJ1382 Amd Ryzen 5 7520u Pantalla 15.6 Ram 16gb Ddr5 512 Ssd","Portátil Asus Vivobook Go 15 E1504FA-NJ1382 Amd Ryzen 5 7520u Pantalla 15.6 Ram 16gb Ddr5 512 Ssd. Producto original con garantía. Envío a toda Colombia.",1769900,COP,PHYSICAL,AVAILABLE,"https://megacomputer.com.co/wp-content/uploads/2025/03/1-2025-03-22T091807.126.webp","laptop|portatil|computador|asus|nuevo|garantia",5,"https://megacomputer.com.co/producto/portatil-asus-vivobook-go-15-e1504fa-nj1382-amd-ryzen-5-7520u-obsequio-morral/"
