name,description,price,currency,category,status,images,tags,autoResponse,stock
"iPhone 14 Pro 256GB","Smartphone Apple de última generación con Dynamic Island",4500000,COP,PHYSICAL,AVAILABLE,"[""https://ejemplo.com/iphone14pro.jpg""]","[""smartphone"",""apple"",""premium""]","¡Excelente elección! El iPhone 14 Pro está disponible.",15
"Samsung Galaxy S23 Ultra","Smartphone Samsung con S Pen y cámara de 200MP",4200000,COP,PHYSICAL,AVAILABLE,"[""https://ejemplo.com/s23ultra.jpg""]","[""smartphone"",""samsung"",""android""]","El Galaxy S23 Ultra es una bestia de teléfono.",10
"Curso Completo de Marketing Digital","Aprende marketing digital desde cero",150000,COP,DIGITAL,AVAILABLE,"[""https://ejemplo.com/curso-marketing.jpg""]","[""curso"",""digital"",""marketing""]","¡Curso disponible! Acceso inmediato después del pago.",999
"MacBook Pro M3 14 pulgadas","Laptop profesional con chip M3, 16GB RAM",8500000,COP,PHYSICAL,AVAILABLE,"[""https://ejemplo.com/macbook-m3.jpg""]","[""laptop"",""apple"",""profesional""]","La MacBook Pro M3 es perfecta para profesionales.",5
"Servicio de Diseño Web Profesional","Diseño y desarrollo de sitio web profesional",2500000,COP,SERVICE,AVAILABLE,"[""https://ejemplo.com/diseno-web.jpg""]","[""servicio"",""web"",""diseño""]","Servicio de diseño web profesional. Entrega en 15 días.",3
"AirPods Pro 2da Generación","Audífonos inalámbricos con cancelación de ruido",950000,COP,PHYSICAL,AVAILABLE,"[""https://ejemplo.com/airpods-pro.jpg""]","[""audio"",""apple"",""inalambrico""]","Los AirPods Pro 2 tienen la mejor cancelación de ruido.",20
"PlayStation 5 Digital Edition","Consola de videojuegos de última generación",2200000,COP,PHYSICAL,OUT_OF_STOCK,"[""https://ejemplo.com/ps5.jpg""]","[""gaming"",""consola"",""playstation""]","La PS5 está agotada temporalmente.",0
"Pack de Plantillas para Instagram","100 plantillas editables para Instagram",45000,COP,DIGITAL,AVAILABLE,"[""https://ejemplo.com/plantillas-ig.jpg""]","[""digital"",""plantillas"",""instagram""]","Pack de plantillas disponible. Descarga inmediata.",999
"Asesoría Personalizada de Negocios","Sesión de 2 horas de asesoría personalizada",350000,COP,SERVICE,AVAILABLE,"[""https://ejemplo.com/asesoria.jpg""]","[""servicio"",""asesoria"",""negocios""]","Asesoría disponible. Agendamos según tu preferencia.",5
"Monitor LG UltraWide 34 pulgadas","Monitor curvo ultrawide 34 pulgadas, 144Hz",1800000,COP,PHYSICAL,AVAILABLE,"[""https://ejemplo.com/monitor-lg.jpg""]","[""monitor"",""ultrawide"",""gaming""]","Monitor LG UltraWide perfecto para gaming.",8
